product_id,customer_name,rating,content,created_at,clean_content
277740594,anh  khoa,5,"đóng gói kỹ càng, giao đúng hạn, sản phẩm chất lượng, giá cả phù hợp, phù hợp với nhu cầu sử dụng",2026-04-25 02:13:46,đóng gói kỹ càng giao đúng hạn sản phẩm chất lượng giá cả phù hợp phù hợp với nhu cầu sử dụng
274054379,Pham hoc au uyên ,5,"Bộ nồi chảo rất tot chắc chắn.men tráng bên trong chất lượng ,kg nhu mua ben shoppe men rat mau tróc. Nên mua nhe mấy chị em",2026-05-07 08:51:03,bộ nồi chảo rất tot chắc chắn men tráng bên trong chất lượng kg nhu mua ben shoppe men rat mau tróc nên mua nhe mấy chị em
275929263,Hoàng thị Nguyệt ,4,Bình thường nhựa,2026-05-02 08:11:17,bình thường nhựa
191777671,Huỳnh  Hải Cơ,5,"Rất đẹp, trong, đẹp, nắp đậy chắc chắn",2026-04-28 07:36:50,rất đẹp trong đẹp nắp đậy chắc chắn
276627846,Hoang Nguyen,3,"Mút chân không dính khá tốt. Nhưng kích thước nhỏ, không gian hạn chế. Móc nhựa có vẻ yếu",2026-05-06 12:52:32,mút chân không dính khá tốt nhưng kích thước nhỏ không gian hạn chế móc nhựa có vẻ yếu
263308690,Bảo Anh,5,"Qui cách đóng gói + thời gian giao hàng của Tiki luôn ở chất lượng tốt nhất. 
Còn sản phẩm rất chất lượng",2026-05-04 08:55:05,qui cách đóng gói thời gian giao hàng của tiki luôn ở chất lượng tốt nhất còn sản phẩm rất chất lượng
276387171,Nguyễn Anh Tuấn,5,"Bề mặt rộng rãi , chịu lực tốt",2026-05-07 07:44:03,bề mặt rộng rãi chịu lực tốt
127050881,Nguyễn Sỹ Bình,3,"Nảy mầm kém, không như quảng cáo.",2026-04-26 01:55:35,nảy mầm kém không như quảng cáo
52676101,Dương Ba,1,Shop đóng thiếu hàng. Mỗi bịch phải có 100 lọc nhưng chỉ có khoảng từ 49 đến 53 lọc/bịch. Shop này làm ăn ***. Tôi đã gửi chat đến shop nhưng shop cũng không thèm gửi 1 lời xin lỗi. Mọi người đừng mua hàng ở shop này nữa!,2026-05-19 07:16:53,shop đóng thiếu hàng mỗi bịch phải có 100 lọc nhưng chỉ có khoảng từ 49 đến 53 lọc bịch shop này làm ăn tôi đã gửi chat đến shop nhưng shop cũng không thèm gửi 1 lời xin lỗi mọi người đừng mua hàng ở shop này nữa
274781551,Nguyễn Trí Thành,1,"Lần trước đặt thanh ngắn không sử dụng được. Lần sau Sản phẩm móp, gãy không sử dụng được.",2026-05-14 17:19:33,lần trước đặt thanh ngắn không sử dụng được lần sau sản phẩm móp gãy không sử dụng được
273624233,Phan Thị Huệ,5,"Sản phẩm được đóng gói cẩn thận, sản phẩm giống như quảng cáo,",2026-05-09 02:57:28,sản phẩm được đóng gói cẩn thận sản phẩm giống như quảng cáo
273619945,Toan Nguyen,3,"Đế silicon không ổn, nằm sâu khỏi đáy kim loại và lõm vào trong, hầu như không có tác dụng. Tôi muốn đổi hoặc chọn sản phẩm khác thì có mất phí không? Mới mở hộp chưa sử dụng, còn nguyên mọi thứ.",2026-05-23 03:16:04,đế silicon không ổn nằm sâu khỏi đáy kim loại và lõm vào trong hầu như không có tác dụng tôi muốn đổi hoặc chọn sản phẩm khác thì có mất phí không mới mở hộp chưa sử dụng còn nguyên mọi thứ
272638497,Trần Thương,5,"Hộp ở ngoài nhìn đẹp, dày và chắc tay",2026-05-21 16:27:12,hộp ở ngoài nhìn đẹp dày và chắc tay
272638497,Trần Thương,5,"Hộp đẹp, dày",2026-05-21 16:26:36,hộp đẹp dày
275929262,Nguyễn Mỹ Dung,5,"Nó hơi nặng, mà đẹp, dễ chùi rửa, cực thích hợp pha trà lạnh!",2026-05-11 02:23:01,nó hơi nặng mà đẹp dễ chùi rửa cực thích hợp pha trà lạnh
278070732,Vương Đức Minh,5,Đẹp,2026-05-09 16:00:14,đẹp
277972005,Nguyễn Thị Anh Thư,5,"Sản phẩm ok , giá chưa tốt",2026-05-16 08:56:22,sản phẩm ok giá chưa tốt
274181724,nguyen ha anh,3,"không đuổi đc chuột mặc dù bật máy, chuột vẫn bị mắc bẫy gần đó",2026-05-15 21:46:45,không đuổi được chuột mặc dù bật máy chuột vẫn bị mắc bẫy gần đó
