product_id,name,short_name,sku,price,list_price,discount,discount_rate,rating_average,review_count,order_count,favourite_count,thumbnail_url,brand_name,brand_id,seller_name,seller_id,seller_sku,category_name,category_id,short_description,specifications,inventory_status,stock_item_qty,stock_item_max_sale_qty,has_ebook,is_fresh,is_genuine,url_path,product_url,ai_review_summary
279116145,1 gói Diệt chuột dạng viên Hợp Trí Storm 0.005% gói 20 viên,,5606379920649,32000,32000,0,0,5,2,,0,https://salt.tikicdn.com/cache/280x280/ts/product/03/4f/2d/653c61f3f5c0175d2ee4cb6502f94998.png,Hợp Trí,150490,Cửa hàng vật tư nông nghiệp Khuya,77737,1831551341333,Chế phẩm diệt côn trùng,67954,"Cảm ơn anh/chị đã lựa chọn cửa hàng vật tư nông nghiệp Khuya  HÌNH ẢNH MANG TÍNH MINH HỌA, TÙY LÔ SẼ CÓ MẪU KHÁC NHAU, KHÁCH CẦN XEM MẪU CHÍNH XÁC TẠI THỜI ĐIỂM ĐẶT HÀNG VUI LÒNG LIÊN HỆ SHOP TRƯỚC ...","Thương hiệu: Hợp Trí; Xuất xứ thương hiệu: Việt Nam; Chất liệu: <p>Dạng viên</p>; Hướng dẫn bảo quản: <p><img style=""margin-left:auto;margin-right:auto;"" src=""https://vn-live-01.slatic.net/p/0f44391e76895617a80b96133eb21900.jpg"" width=""750"" height=""96"" alt=""0f44391e76895617a80b96133eb21900.jpg"" /></p>
<p> </p>
<ul>
<li>
<div>Bảo quản th diệt chuột STORM nơi khô, mát, xa nguồn lương thực, thực phẩm, thức ăn gia súc; xa tầm với của trẻ em.</div>
</li>
<li>
<div>Đề phòng ngộ độc:</div>
<ul>
<li>
<div>Không đặt th diệt chuột STORM ở những nơi trẻ em, súc vật có thể đến gần.</div>
</li>
<li>
<div>Tiêu hủy, chôn vùi xác chuột chết và các bả STORM còn sót lại.</div>
</li>
</ul>
</li>
<li>
<div>Xử lý khi nhiễm phải th:</div>
<ul>
<li>
<div>Nếu nuốt phải: đưa nạn nhân đến bác sĩ ngay kèm theo nhãn sản phẩm.</div>
</li>
<li>
<div>Gây ói tức thời bằng cách móc họng, không được gây ói khi nạn nhân bị bất tỉnh.</div>
</li>
</ul>
</li>
</ul>
<p> </p>; Hướng dẫn sử dụng: <p style=""text-align:center;""><img src=""https://vn-live-01.slatic.net/p/64e03248fb7a57183a0cd420e3762c14.jpg"" width=""693"" height=""258"" alt=""64e03248fb7a57183a0cd420e3762c14.jpg"" /></p>
<p> </p>
<p>CÁCH LẤY VIÊN STORM RA KHỎI TÚI ĐÚNG CÁCH</p>
<p> </p>
<p><img style=""margin-left:auto;margin-right:auto;"" src=""https://vn-live-01.slatic.net/p/3053b5bb9fa7695033f9ed19ea0753d5.jpg"" width=""750"" height=""421"" alt=""3053b5bb9fa7695033f9ed19ea0753d5.jpg"" /></p>
<p> </p>
<ul>
<li>
<div>Dùng kéo cắt góc túi</div>
</li>
<li>
<div>Rắc viên thuốc ra khỏi túi (tránh để tay chạm vào viên)</div>
</li>
<li>
<div>Đeo găng tay khi cầm viên thuốc</div>
</li>
</ul>
<p><strong>CÁCH SỬ DỤNG TH DIỆT CHUỘT STORM TRÊN RUỘNG LÚA, RUỘNG KHÓM</strong></p>
<p>Nơi đặt: bụi rậm xung quanh bờ, miệng hang, dọc đường chuột chạy mép bờ, chỗ chuột cắn phá</p>
<ul>
<li>
<div>Cách đặt: đặt viên thuốc giữa 2 lớp trấu, hoặc cho vào túi xốp, 1 túi cho mỗi điểm đặt bả. Nếu ruộng có nước phải tạo 1 mô đất và đặt th cách mặt nước tối thiểu 3 – 5 cm.</div>
</li>
<li>
<div>Lượng th:</div>
<ul>
<li>
<div>Khoảng 5-10 mét đặt 1-2 viên</div>
</li>
<li>
<div>Chuột ít đặt 30 – 60 viên/ ha (100g – 200g);</div>
</li>
<li>
<div>Chuột nhiều đặt 100 – 150 viên/ha (400 – 600g).</div>
</li>
</ul>
</li>
</ul>
<p>Sau 7 ngày kiểm tra nếu còn chuột thì đặt tiếp (lần 2 đặt ít hơn lần đầu).</p>
<p><img style=""margin-left:auto;margin-right:auto;"" src=""https://vn-live-01.slatic.net/p/f03d61b06d6b39a48537b8750cf1c040.png"" width=""750"" height=""200"" alt=""f03d61b06d6b39a48537b8750cf1c040.png"" /></p>
<p><img style=""margin-left:auto;margin-right:auto;"" src=""https://vn-live-01.slatic.net/p/7fdc89e627b1a524277f5ba333609fc3.jpg"" width=""750"" height=""421"" alt=""7fdc89e627b1a524277f5ba333609fc3.jpg"" /></p>
<p> </p>
<p>CÁCH SỬ DỤNG TH DIỆT CHUỘT STORM TRÊN VƯỜN CÂY ĂN QUẢ</p>
<p><img style=""margin-left:auto;margin-right:auto;"" src=""https://vn-live-01.slatic.net/p/358ae14497e422cf7c68ccca863a3324.jpg"" width=""750"" height=""421"" alt=""358ae14497e422cf7c68ccca863a3324.jpg"" /></p>
<p> </p>
<ul>
<li>
<div>Nơi đặt: gốc cây, bụi cây, hang chuột giữa vườn</div>
</li>
<li>
<div>Cách đặt: đặt trực tiếp, gói giấy báo, bỏ vô túi xốp</div>
</li>
<li>
<div>Lượng th: tùy lượng chuột và số lượng cây trồng, thông thường từ 1-2 viên cho mỗi 5-10 mét</div>
</li>
</ul>
<p><strong>CÁCH SỬ DỤNG TH DIỆT CHUỘT STORM TẠI NHÀ Ở</strong></p>
<ul>
<li>
<div>Cách đặt: Đặt túi Storm tại góc nhà, góc bếp, mái nhà, trần nhà nơi có ống nước, chân tường phía ngoài, sân vườn nơi có hang chuột, và những nơi chuột hay lui tới.</div>
</li>
<li>
<div>Lượng th: tùy lượng chuột và số lượng phòng trong nhà/ trang trại, thông thường từ 1-2 viên cho mỗi 5-10 mé</div>
</li>
</ul>; Xuất xứ (Made in): Việt Nam; Sản phẩm có được bảo hành không?: Không",available,1000,1000,False,False,,1-goi-diet-chuot-dang-vien-hop-tri-storm-0-005-goi-20-vien-p279116145.html?spid=279116146,https://tiki.vn/1-goi-diet-chuot-dang-vien-hop-tri-storm-0-005-goi-20-vien-p279116145.html?spid=279116146,
278731507,"Nồi phủ sứ chống dính Elmich Olive Classic EL5533OV size 16,18,20cm - Hàng chính hãng",,9027368094727,338000,719000,381000,53,0,0,,0,https://salt.tikicdn.com/cache/280x280/ts/product/2c/eb/2a/b86a2013faaa9273ddd72bfdb9f3daed.jpg,Elmich,31627,Tiki Trading,1,3725190880763,Nồi lẻ,68059,"Câu Chuyện Sản PhẩmOlive – biểu tượng của sự trường tồn và sức khỏe, luôn gắn liền với chiều dài lịch sử và truyền thống văn hóa của người dân Địa Trung Hải. Qua hàng thế kỷ, olive không chỉ là một...",Thương hiệu: Elmich; Xuất xứ thương hiệu: Cộng Hòa Séc; Dung tích: 16-20cm; Chất liệu nồi & chảo: Nhôm; Kích thước: Dưới 20 cm; Sử dụng cho bếp: Mọi loại bếp; Nắp nồi: Có nắp; Xuất xứ (Made in): Việt Nam; Loại nồi chảo: Nồi; Độ dày: Không; Sản phẩm có được bảo hành không?: Có; Hình thức bảo hành: Phiếu bảo hành; Thời gian bảo hành: 24 Tháng,available,1000,1000,False,False,,noi-phu-su-chong-dinh-elmich-olive-classic-el5533ov-size-16-18-20cm-hang-chinh-hang-p278731507.html?spid=278731513,https://tiki.vn/noi-phu-su-chong-dinh-elmich-olive-classic-el5533ov-size-16-18-20cm-hang-chinh-hang-p278731507.html?spid=278731513,
278450191,Bình giữ nhiệt LocknLock Bucket One-Touch LHC3345 có quai dung tích 550ml thép không gỉ - 3 màu,,6245684121491,325600,592000,266400,45,5,3,,0,https://salt.tikicdn.com/cache/280x280/ts/product/7e/ff/e5/14d3f882ec1a63951a0938d39a8c5c0b.jpg,LocknLock,48077,Tiki Trading,1,8316509865629,Bình giữ nhiệt,1936,Bình giữ nhiệt LocknLock Bucket One-Touch LHC3345 có quai dung tích 550ml thép không gỉ - 3 màuXuất xứ: Trung QuốcCấu tạo: Thân cốc: Bên trong: thép không gỉ 304; bên ngoài: thép không gỉ SUS304; Nắ...,Thương hiệu: LocknLock; Xuất xứ thương hiệu: Hàn Quốc; Xuất xứ (Made in): Trung Quốc; Sản phẩm có được bảo hành không?: Không,available,1000,1000,False,False,,binh-giu-nhiet-locknlock-bucket-one-touch-lhc3345-co-quai-dung-tich-550ml-thep-khong-gi-3-mau-p278450191.html?spid=278450193,https://tiki.vn/binh-giu-nhiet-locknlock-bucket-one-touch-lhc3345-co-quai-dung-tich-550ml-thep-khong-gi-3-mau-p278450191.html?spid=278450193,
277821906,Hộp cơm 2 tầng inox 304 Elmich EL8381 dung tích 1.3L - Hàng chính hãng,,2991022407333,294000,625000,331000,53,5,5,,0,https://salt.tikicdn.com/cache/280x280/ts/product/0c/77/65/ffedcd9517db730294617dccd12f7a4c.jpg,Elmich,31627,Tiki Trading,1,8108968306325,Root,2,"Thông tin sản phẩm Chất liệu cao cấp: Inox 304 an toàn cho sức khỏe, chống oxy hóa, đảm bảo vệ sinh.Thiết kế thông minh: Hộp cơm 2 tầng với nắp phụ tích hợp nút thoát hơi, ngăn chia đôi, giúp bạn ...",Thương hiệu: Elmich; Xuất xứ thương hiệu: Czech Republic; Chất liệu: Mô tả; Xuất xứ (Made in): Việt Nam; Sản phẩm có được bảo hành không?: Không,available,1000,1000,False,False,,hop-com-2-tang-inox-304-elmich-el8381-dung-tich-1-3l-hang-chinh-hang-p277821906.html?spid=277821910,https://tiki.vn/hop-com-2-tang-inox-304-elmich-el8381-dung-tich-1-3l-hang-chinh-hang-p277821906.html?spid=277821910,
277776638,Chảo chống dính Elmich EL5972,,8352802271351,167400,388000,220600,57,4.1,8,,0,https://salt.tikicdn.com/cache/280x280/ts/product/4b/00/0a/343b6f4e0d05a77075511f1766d1465f.jpg,Elmich,31627,Tiki Trading,1,2052288039950,Chảo chiên,1984,"Câu Chuyện Sản Phẩm Mỗi bữa cơm không chỉ là món ăn mà còn là cách bạn chăm sóc sức khỏe và yêu thương gia đình. Với chảo chống dính Elmich, bạn hoàn toàn yên tâm nhờ chất liệu chống dính cao cấp,...",Thương hiệu: Elmich; Xuất xứ thương hiệu: Czech Republic; Chất liệu nồi & chảo: Nhôm; Kích thước: Bộ sản phẩm; Sử dụng cho bếp: Mọi loại bếp; Nắp nồi: Không có nắp; Xuất xứ (Made in): Việt Nam; Loại nồi chảo: Chảo chiên; Độ dày: 2.4mm; Sản phẩm có được bảo hành không?: Có; Hình thức bảo hành: Phiếu bảo hành; Thời gian bảo hành: 24 Tháng,available,1000,1000,False,False,,chao-chong-dinh-elmich-el5972-p277776638.html?spid=277776822,https://tiki.vn/chao-chong-dinh-elmich-el5972-p277776638.html?spid=277776822,
277740559,Bình giữ nhiệt inox 304 Elmich EL8382 dung tích 810ml,,3998150970794,295000,627000,332000,53,2,1,,0,https://salt.tikicdn.com/cache/280x280/ts/product/ab/c8/91/516e284311870ca152b541db15a16c4f.jpg,Elmich,31627,Tiki Trading,1,9667690144152,Bình giữ nhiệt,1936,"1. Thiết kế thời trang, màu sắc trẻ trung phù hợp với cả hai nam và nữ.2. Chất liệu inox 304 an toàn cho sức khỏe3. Dung tích lớn, phù hợp nhu cầu sử dụng.4. Cách nhiệt tuyệt đối bằng chân không.5...",Thương hiệu: Elmich; Xuất xứ thương hiệu: Czech Republic; Xuất xứ (Made in): Trung Quốc; Sản phẩm có được bảo hành không?: Có; Hình thức bảo hành: Phiếu bảo hành; Thời gian bảo hành: 6 Tháng,available,1000,1000,False,False,,binh-giu-nhiet-inox-304-elmich-el8382-dung-tich-810ml-p277740559.html?spid=277740564,https://tiki.vn/binh-giu-nhiet-inox-304-elmich-el8382-dung-tich-810ml-p277740559.html?spid=277740564,
277585447,Chảo inox 304 đa lớp cao cấp SUNHOUSE IN20-24-26M6E - 3 lớp nguyên khối - Cán rỗng hạn chế bỏng,,1453601713091,284000,986000,702000,71,0,0,,0,https://salt.tikicdn.com/cache/280x280/ts/product/74/9a/3f/4adf674ba49d705faf7e8d769bff6781.jpg,Sunhouse,41048,Tiki Trading,1,6007352058988,Chảo chiên,1984,"Đặc điểm nổi bậtKết cấu inox liền khối siêu bền bỉ, chống phòng đáyChất liệu Inox cao cấp an toàn sức khỏe, không han gỉDễ dàng tạo lớp chống dính tự nhiên, chiên xào thuận tiệnBắt từ siêu nhạy tiết ...",Thương hiệu: Sunhouse; Xuất xứ thương hiệu: Việt Nam; Chất liệu nồi & chảo: inox; Kích thước: 20 - 28cm; Sử dụng cho bếp: Mọi loại bếp; Nắp nồi: Không có nắp; Xuất xứ (Made in): Việt Nam; Loại nồi chảo: Chảo chiên; Độ dày: Không; Sản phẩm có được bảo hành không?: Có; Hình thức bảo hành: Điện tử; Thời gian bảo hành: 12 Tháng,available,1000,1000,False,False,,chao-inox-304-da-lop-cao-cap-sunhouse-in20-24-26m6e-3-lop-nguyen-khoi-can-rong-han-che-bong-p277585447.html?spid=277597860,https://tiki.vn/chao-inox-304-da-lop-cao-cap-sunhouse-in20-24-26m6e-3-lop-nguyen-khoi-can-rong-han-che-bong-p277585447.html?spid=277597860,
276120162,Bình giữ nhiệt METRO CAFE TUMBLER LocknLock LHC4359 - Dung tích 650ml,,6573230323198,424050,771000,346950,45,5,30,,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/40/0d/1d/e5477f5b428f6807c69f2ea3594e71a9.jpg,LocknLock,48077,Tiki Trading,1,3695948846878,Bình giữ nhiệt,1936,"Đặc điểm sản phẩmMàu sắc đa dạng phù hợp với phong cách riêng của bạn Sử dụng hợp vệ sinh, giữ được trọn vẹn hương vị các loại thức uống, giảm tối đa sự ố màu bên trong bình. Dễ dàng thêm đá viên ...","Thương hiệu: LocknLock; Xuất xứ thương hiệu: Hàn Quốc; Chất liệu: Thân cốc: bên trong: thép không gỉ 304 phủ sứ, bên ngoài: thép không gỉ SUS304; Nắp: nhựa tritan, PP; Gioăng &amp; miếng lót đế: Silicone; Model: LHC4359; Khả năng giữ nhiệt: ""- Giữ nóng: ~4  tiếng (trên 600C)
- Giữ lạnh: ~15  tiếng (dưới 110C)
""; Xuất xứ (Made in): Trung Quốc; Sản phẩm có được bảo hành không?: Không",available,1000,1000,False,False,,binh-giu-nhiet-metro-cafe-tumbler-locknlock-lhc4359-dung-tich-650ml-p276120162.html?spid=276125658,https://tiki.vn/binh-giu-nhiet-metro-cafe-tumbler-locknlock-lhc4359-dung-tich-650ml-p276120162.html?spid=276125658,
276018795,Hộp đựng thực phẩm bằng thép không gỉ LocknLock Color Coated STS Container nhiều dung tích,,5347565910820,136500,210000,73500,35,5,18,,0,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/a5/aa/ef/a265784fe9eea26bb32fdd0bb2a516a3.jpg,LocknLock,48077,Tiki Trading,1,2029320202327,Nhà Cửa - Đời Sống,1883,"Đặc điểm sản phẩmHộp đựng bằng thép không gỉ màu Xanh Nhạt và Hồng Pastel giúp căn bếp của bạn trở nên sáng sủa và thoải mái hơn.Không còn lo lắng về việc hộp đựng bị ố màu và rò rỉ mùi, hộp có độ ...",Sản phẩm có được bảo hành không?: Không; Thương hiệu: LocknLock; Xuất xứ thương hiệu: Hàn Quốc; Chất liệu: Thân: Thép không gỉ 304; Nắp: Nhựa PP; Gioăng: Silicone; Kích thước (Dài x Rộng x Cao): Nhiều dung tích; Xuất xứ (Made in): Trung Quốc,available,1000,1000,False,False,,hop-dung-thuc-pham-bang-thep-khong-gi-locknlock-color-coated-sts-container-nhieu-dung-tich-p276018795.html?spid=276020515,https://tiki.vn/hop-dung-thuc-pham-bang-thep-khong-gi-locknlock-color-coated-sts-container-nhieu-dung-tich-p276018795.html?spid=276020515,
276018790,Ly nhựa 2 lớp LocknLock HAP538 Spring Double Wall Cold Cup - Dung tích 890ML - Kèm ống hút,,5689581930056,190300,346000,155700,45,5,1,,0,https://salt.tikicdn.com/cache/280x280/ts/product/ff/00/e5/09e664ccd76635e6a3dff1361e6c85fe.jpg,LocknLock,48077,Tiki Trading,1,4723854724105,"Ly, cốc nước",67840,"Đặc điểm sản phẩmHai cách uống: Tích hợp ống hút và nắp lật trong một sản phẩm, thiết kế này mang đến sự phù hợp cho nhiều loại đồ uống khác nhau.Tay cầm tiện lợi: Tay cầm cho phép bạn cầm nắm sản ...",Thương hiệu: LocknLock; Xuất xứ thương hiệu: Hàn Quốc; Chất liệu: Cup body: AS; Cap/Straw/filter: PP; Sealing ring: Silicone; Model: HAP538; Kích thước (Dài x Rộng x Cao): 890ml; Xuất xứ (Made in): Trung Quốc; Sản phẩm có được bảo hành không?: Không,available,1000,1000,False,False,,ly-nhua-2-lop-locknlock-hap538-spring-double-wall-cold-cup-dung-tich-890ml-kem-ong-hut-p276018790.html?spid=276021005,https://tiki.vn/ly-nhua-2-lop-locknlock-hap538-spring-double-wall-cold-cup-dung-tich-890ml-kem-ong-hut-p276018790.html?spid=276021005,
